offset,original_text,original_length,padding_available,real_max_length,encoding,category,translation,notes
0x001B302F,     Constriction,17,1,18,pokemon,other,,
0x001B305A, E-Coque,8,6,14,pokemon,other,,
0x001B3063,     Pied Voltige,17,1,18,pokemon,other,,
0x001B3075,Intimidation,12,1,13,pokemon,other,,
0x001B308B,    Gaz Toxik,13,4,17,pokemon,other,,
0x001B3099,   Pilonnage,12,4,16,pokemon,other,,
0x001B30A6,   Vampirisme,13,3,16,pokemon,other,,
0x001B30B4,  Grobisou,10,5,15,pokemon,other,,
0x001B30C9,       Morphing,15,5,20,pokemon,other,,
0x001B30DE,cume,4,8,12,pokemon,other,,
0x001B30E3,       Uppercut,15,5,20,pokemon,other,,
0x001B30F3,    Spore,9,8,17,pokemon,other,,
0x001B30FD,       Flash,12,8,20,pokemon,other,,
0x001B310A,       Vague Psy,16,4,20,pokemon,other,,
0x001B311B,   Trempette,12,4,16,pokemon,other,,
0x001B3128,   Acidarmure,13,3,16,pokemon,other,,
0x001B3136,  Pince-Masse,13,2,15,pokemon,other,,
0x001B3144, Explosion,10,4,14,pokemon,other,,
0x001B314F,   Combo-Griffe,15,1,16,pokemon,other,,
0x001B315F,Osmerang,8,5,13,pokemon,other,,
0x001B3168,    Repos,9,8,17,pokemon,other,,
0x001B317A,boulement,9,3,12,pokemon,other,,
0x001B3184,  Croc de Mort,14,1,15,pokemon,other,,
0x001B3197,tage,4,5,9,pokemon,other,,
0x001B319C,    Conversion,14,3,17,pokemon,other,,
0x001B31AB,  Triplattaque,14,1,15,pokemon,other,,
0x001B31BA,Croc Fatal,10,3,13,pokemon,location,,
0x001B31C5,  Tranche,9,6,15,pokemon,other,,
0x001B31CF,     Clonage,12,6,18,pokemon,other,,
0x001B31DC,     Lutte,10,8,18,pokemon,other,,
0x001B31E7,       Gribouille,17,3,20,pokemon,other,,
0x001B31F9,  Triple Pied,13,2,15,pokemon,other,,
0x001B3207, Larcin,7,7,14,pokemon,other,,
0x001B320F,      Toile,11,8,19,pokemon,other,,
0x001B321B,       Lire-Esprit,18,2,20,pokemon,other,,
0x001B322E, Cauchemar,10,4,14,pokemon,other,,
0x001B3239,   Roue de Feu,14,2,16,pokemon,other,,
0x001B3248, Ronflement,11,3,14,pokemon,other,,
0x001B325A,diction,7,2,9,pokemon,other,,
0x001B3262, Gigotage,9,5,14,pokemon,other,,
0x001B326C,    Conversion 2,16,1,17,pokemon,other,,
0x001B327F,roblast,7,4,11,pokemon,other,,
0x001B3287,   Spore Coton,14,2,16,pokemon,other,,
0x001B3296, Contre,7,7,14,pokemon,other,,
0x001B32AA,       Poudreuse,16,4,20,pokemon,other,,
0x001B32BB,   Abri,7,9,16,pokemon,other,,
0x001B32C3,        Mach Punch,18,3,21,pokemon,other,,
0x001B32D6,  Grimace,9,6,15,pokemon,other,,
0x001B32E0,     Feinte,11,7,18,pokemon,other,,
0x001B32EC,      Doux Baiser,17,2,19,pokemon,other,,
0x001B32FE, Cognobidon,11,3,14,pokemon,other,,
0x001B330A,  Bombe Beurk,13,2,15,pokemon,other,,
0x001B331E,Boue,4,4,8,pokemon,other,,
0x001B3323,   Octazooka,12,4,16,pokemon,other,,
0x001B3330,   Picots,9,7,16,pokemon,other,,
0x001B3341,lecanon,7,5,12,pokemon,other,,
0x001B3349,    Clairvoyance,16,1,17,pokemon,other,,
0x001B335A,Prlvt Destin,12,1,13,pokemon,location,,
0x001B3367,Requiem,7,6,13,pokemon,other,,
0x001B336F,     Vent Glace,15,3,18,pokemon,other,,
0x001B3383,tection,7,4,11,pokemon,other,,
0x001B338B,   Charge Os,12,4,16,pokemon,other,,
0x001B3398,   Verrouillage,15,1,16,pokemon,other,,
0x001B33BA,tesable,7,1,8,pokemon,other,,
0x001B33C2,Giga-Sangsue,12,1,13,pokemon,other,,
0x001B33D8,    Charme,10,7,17,pokemon,other,,
0x001B33E3,      Roulade,13,6,19,pokemon,other,,
0x001B33F1,     Faux-Chage,15,3,18,pokemon,other,,
0x001B3401,  Vantardise,12,3,15,pokemon,other,,
0x001B3416, Boire,6,1,7,pokemon,other,,
0x001B341E,tincelle,8,4,12,pokemon,other,,
0x001B3427,   Taillade,11,5,16,pokemon,other,,
0x001B343E,Acier,5,1,6,pokemon,other,,
0x001B3444,Regard Noir,11,2,13,pokemon,location,,
0x001B3450, Attraction,11,3,14,pokemon,other,,
0x001B345C,  Blabla Dodo,13,2,15,pokemon,other,,
0x001B346A, Glas de Soin,13,1,14,pokemon,other,,
0x001B3478,Retour,6,7,13,pokemon,other,,
0x001B347F,      Cadeau,12,7,19,pokemon,other,,
0x001B348C,      Frustration,17,2,19,pokemon,other,,
0x001B349E, Rune Protect,13,1,14,pokemon,other,,
0x001B34AC,Balance,7,6,13,pokemon,other,,
0x001B34C3,   Ampleur,10,6,16,pokemon,other,,
0x001B34CE,     Dynamo-Poing,17,1,18,pokemon,other,,
0x001B34E2,gacorne,7,4,11,pokemon,other,,
0x001B34EA,   DracoSouffle,15,1,16,pokemon,other,,
0x001B34FA,Relais,6,7,13,pokemon,other,,
0x001B3501,      Encore,12,7,19,pokemon,other,,
0x001B350E,      Poursuite,15,4,19,pokemon,other,,
0x001B351E,   Tour Rapide,14,2,16,pokemon,other,,
0x001B352D, Doux Parfum,12,2,14,pokemon,other,,
0x001B353A, Queue de Fer,13,1,14,pokemon,other,,
0x001B3548,Griffe Acier,12,1,13,pokemon,location,,
0x001B3555,Corps Perdu,11,2,13,pokemon,location,,
0x001B3561, Aurore,7,7,14,pokemon,other,,
0x001B3578,    Rayon Lune,14,3,17,pokemon,other,,
0x001B3596,Coup Croix,10,3,13,pokemon,location,,
0x001B35A1,  Ouragan,9,6,15,pokemon,other,,
0x001B35AB,     Danse Pluie,16,2,18,pokemon,other,,
0x001B35BF,nith,4,7,11,pokemon,other,,
0x001B35CC,chouille,8,3,11,pokemon,other,,
0x001B35D5,  Voile Miroir,14,1,15,pokemon,other,,
0x001B35E4,Boost,5,8,13,pokemon,other,,
0x001B35FD, Pouv.Antique,13,1,14,pokemon,other,,
0x001B3610,Ombre,5,3,8,pokemon,other,,
0x001B3616,  Prescience,12,3,15,pokemon,other,,
0x001B3626,clate-Roc,9,3,12,pokemon,other,,
0x001B3630,  Siphon,8,7,15,pokemon,other,,
0x001B3639,      Baston,12,7,19,pokemon,other,,
0x001B3646,      Bluff,11,8,19,pokemon,other,,
0x001B3652,       Brouhaha,15,5,20,pokemon,other,,
0x001B3662,    Stockage,12,5,17,pokemon,other,,
0x001B367B,     Avale,10,8,18,pokemon,other,,
0x001B3686,       Canicule,15,5,20,pokemon,other,,
0x001B36A0,       Tourmente,16,4,20,pokemon,other,,
0x001B36B1,   Flatterie,12,4,16,pokemon,other,,
0x001B36BE,   Feu Follet,13,3,16,pokemon,other,,
0x001B36CC,  Souvenir,10,5,15,pokemon,other,,
0x001B36E2,      Mitra-Poing,17,2,19,pokemon,other,,
0x001B36F4, Stimulant,10,4,14,pokemon,other,,
0x001B36FF,   Par Ici,10,6,16,pokemon,other,,
0x001B370A,     Force Nature,17,1,18,pokemon,other,,
0x001B371C,Chargeur,8,5,13,pokemon,other,,
0x001B3725,    Provoc,10,7,17,pokemon,other,,
0x001B373D,Main,4,2,6,pokemon,other,,
0x001B3742, TourDeMagie,12,2,14,pokemon,other,,
0x001B374F, Imitation,10,4,14,pokemon,other,,
0x001B3761,         Assistance,19,3,22,pokemon,other,,
0x001B3775,  Racines,9,6,15,pokemon,other,,
0x001B377F,     Surpuissance,17,1,18,pokemon,other,,
0x001B3791,Reflet Magik,12,1,13,pokemon,location,,
0x001B379E,Recyclage,9,4,13,pokemon,other,,
0x001B37A8,   Vendetta,11,5,16,pokemon,other,,
0x001B37B4,    Casse-Brique,16,1,17,pokemon,other,,
0x001B37C7,illement,8,3,11,pokemon,other,,
0x001B37D0,  Sabotage,10,5,15,pokemon,other,,
0x001B37DB,    Effort,10,7,17,pokemon,other,,
0x001B37ED,ruption,7,5,12,pokemon,other,,
0x001B37FA,change,6,6,12,pokemon,other,,
0x001B3801,     Possessif,14,4,18,pokemon,other,,
0x001B3819,ration,6,1,7,pokemon,other,,
0x001B3820,Rancune,7,6,13,pokemon,other,,
0x001B3828,     Saisie,11,7,18,pokemon,other,,
0x001B384F,     Cogne,10,8,18,pokemon,other,,
0x001B385A,       Camouflage,17,3,20,pokemon,other,,
0x001B386C,  Lumi-Queue,12,3,15,pokemon,other,,
0x001B3881,clat,4,3,7,pokemon,other,,
0x001B388D,Brume,5,3,8,pokemon,other,,
0x001B3893,  Danse Plumes,14,1,15,pokemon,other,,
0x001B38A2,Danse Folle,11,2,13,pokemon,location,,
0x001B38B7,leur,4,1,5,pokemon,other,,
0x001B38BC,Lance-Boue,10,3,13,pokemon,other,,
0x001B38CE,Glace,5,3,8,pokemon,other,,
0x001B38D4,  Poing Dard,12,3,15,pokemon,other,,
0x001B38E1,  Paresse,9,6,15,pokemon,other,,
0x001B38F2,gaphone,7,4,11,pokemon,other,,
0x001B38FA,   CrochetVenin,15,1,16,pokemon,other,,
0x001B390B,clateGriffe,11,1,12,pokemon,other,,
0x001B3917,Rafale Feu,10,3,13,pokemon,location,,
0x001B3922,  Hydroblast,12,3,15,pokemon,other,,
0x001B393F,tonnement,9,3,12,pokemon,other,,
0x001B3960,rap.,4,1,5,pokemon,other,,
0x001B3965,Croco Larme,11,2,13,pokemon,location,,
0x001B397D,  Surchauffe,12,3,15,pokemon,other,,
0x001B398A,  Flair,7,8,15,pokemon,other,,
0x001B3992,       Tomberoche,17,3,20,pokemon,other,,
0x001B39B3,Strido-Son,10,3,13,pokemon,other,,
0x001B39C6,Herbe,5,2,7,pokemon,other,,
0x001B39CC, Chatouille,11,3,14,pokemon,other,,
0x001B39D8,  Force Cosmik,14,1,15,pokemon,other,,
0x001B39EF,     Rayon Signal,17,1,18,pokemon,other,,
0x001B3A01,Poing Ombre,11,2,13,pokemon,location,,
0x001B3A0D, Extrasenseur,13,1,14,pokemon,other,,
0x001B3A1B,Stratopercut,12,1,13,pokemon,other,,
0x001B3A28,Tourbi-Sable,12,1,13,pokemon,other,,
0x001B3A35,Glaciation,10,3,13,pokemon,other,,
0x001B3A40,  Ocroupi,9,6,15,pokemon,other,,
0x001B3A4A,     Balle Graine,17,1,18,pokemon,other,,
0x001B3A5E,ropique,7,4,11,pokemon,other,,
0x001B3A66,   Stalactite,13,3,16,pokemon,other,,
0x001B3A74,  Mur de Fer,12,3,15,pokemon,other,,
0x001B3A81,  Barrage,9,6,15,pokemon,other,,
0x001B3A8B,     Grondement,15,3,18,pokemon,other,,
0x001B3A9B,  Draco-Griffe,14,1,15,pokemon,other,,
0x001B3AAE,-Attaque,8,1,9,pokemon,other,,
0x001B3AB7,Gonflette,9,4,13,pokemon,other,,
0x001B3AC1,   Rebond,9,7,16,pokemon,other,,
0x001B3ACB,      Tir de Boue,17,2,19,pokemon,other,,
0x001B3ADD, Queue-Poison,13,1,14,pokemon,other,,
0x001B3AEB,Implore,7,6,13,pokemon,other,,
0x001B3AF9,lectacle,8,4,12,pokemon,other,,
0x001B3B02,   FeuilleMagik,15,1,16,pokemon,other,,
0x001B3B12,Tourniquet,10,3,13,pokemon,other,,
0x001B3B22,nitude,6,4,10,pokemon,other,,
0x001B3B29,   Lame Feuille,15,1,16,pokemon,other,,
0x001B3B39,Danse Draco,11,2,13,pokemon,location,,
0x001B3B45, Boule Roc,10,4,14,pokemon,other,,
0x001B3B50,   Onde de Choc,15,1,16,pokemon,other,,
0x001B3B60,Vibraqua,8,5,13,pokemon,other,,
0x001B3B69,    Carnareket,14,3,17,pokemon,other,,
0x001B3B78,  Psycho-Boost,14,1,15,pokemon,other,,
0x001B3B87,Vampirisme,10,3,13,pokemon,other,,
0x001B3B9F,  Aqua-Jet,10,5,15,pokemon,other,,
0x001B3BAA,    Hydro-Queue,15,2,17,pokemon,other,,
0x001B3BC6,  Avalanche,11,4,15,pokemon,other,,
0x001B3BD2,   Rapace,9,7,16,pokemon,other,,
0x001B3BDC,      Bourdon,13,6,19,pokemon,other,,
0x001B3BEA,     Pisto-Poing,16,2,18,pokemon,other,,
0x001B3C09,Close Combat,12,1,13,pokemon,location,,
0x001B3C16,Poison Croix,12,1,13,pokemon,location,,
0x001B3C23,Vibrobscur,10,3,13,pokemon,other,,
0x001B3C4A,Draco-Choc,10,3,13,pokemon,other,,
0x001B3C55,  Vampi-Poing,13,2,15,pokemon,other,,
0x001B3C63, Telluriforce,13,1,14,pokemon,other,,
0x001B3C7C,  Exploforce,12,3,15,pokemon,other,,
0x001B3C89,  Forte-Paume,13,2,15,pokemon,other,,
0x001B3C97, Giga Impact,12,2,14,pokemon,other,,
0x001B3CA7,ud Herbe,8,3,11,pokemon,other,,
0x001B3CB4,tricanon,8,3,11,pokemon,other,,
0x001B3CBD,  Marto-Poing,13,2,15,pokemon,other,,
0x001B3CDA,clats Glace,11,1,12,pokemon,other,,
0x001B3CE8,te de Fer,9,2,11,pokemon,other,,
0x001B3CF4,bullilave,9,3,12,pokemon,other,,
0x001B3CFE,  Bombe Aimant,14,1,15,pokemon,other,,
0x001B3D0D,Boue-Bombe,10,3,13,pokemon,other,,
0x001B3D18,  Machination,13,2,15,pokemon,other,,
0x001B3D26, Tranche-Nuit,13,1,14,pokemon,other,,
0x001B3D34,Vent Mauvais,12,1,13,pokemon,location,,
0x001B3D41,Rayon Gemme,11,2,13,pokemon,location,,
0x001B3D50,gafouet,7,4,11,pokemon,other,,
0x001B3D58,   Coupe Psycho,15,1,16,pokemon,other,,
0x001B3D68,Escalade,8,5,13,pokemon,other,,
0x001B3D71,    Poliroche,13,4,17,pokemon,other,,
0x001B3D7F,   Roc-Boulet,13,3,16,pokemon,other,,
0x001B3D8D,  Atterrissage,14,1,15,pokemon,other,,
0x001B3D9C,Canon Graine,12,1,13,pokemon,location,,
0x001B3DA9,Griffe Ombre,12,1,13,pokemon,location,,
0x001B3DC3,Onde Vide,9,4,13,pokemon,location,,
0x001B3DCD,   Plaie Croix,14,2,16,pokemon,other,,
0x001B3DE5,Boul,4,1,5,pokemon,other,,
0x001B3DEA,Passe-Passe,11,2,13,pokemon,other,,
0x001B3DF6, Tunnelier,10,4,14,pokemon,other,,
0x001B3E07,tisol,5,5,10,pokemon,other,,
0x001B3E1C,  Nitrocharge,13,2,15,pokemon,other,,
0x001B3E43,  Aiguisage,11,4,15,pokemon,other,,
0x001B3E4F,   Encornebois,14,2,16,pokemon,other,,
0x001B3E5E, Enroulement,12,2,14,pokemon,other,,
0x001B3E6B, Vent Violent,13,1,14,pokemon,other,,
0x001B3E79,Chute Glace,11,2,13,pokemon,location,,
0x001B3E85, Rengorgement,13,1,14,pokemon,other,,
0x001B3E93,Papillodanse,12,1,13,pokemon,other,,
0x001B3EA0,Phytomixeur,11,2,13,pokemon,other,,
0x001B3EAC, Balayette,10,4,14,pokemon,other,,
0x001B3EB7,   Aboiement,12,4,16,pokemon,other,,
0x001B3EC4,   Survinsecte,14,2,16,pokemon,other,,
0x001B3ED3, Bulldoboule,12,2,14,pokemon,other,,
0x001B3EE0, Yama Arashi,12,2,14,pokemon,other,,
0x001B3EED, Choc Venin,11,3,14,pokemon,other,,
0x001B3EFC,clair Fou,9,3,12,pokemon,other,,
0x001B3F06,  Direct Toxik,14,1,15,pokemon,other,,
0x001B3F15,Bombe Acide,11,2,13,pokemon,location,,
0x001B3F21, Danse du Feu,13,1,14,pokemon,other,,
0x001B3F2F,Bain de Smog,12,1,13,pokemon,location,,
0x001B3F41,teVerte,7,1,8,pokemon,other,,
0x001B3F49,Lame de Roc,11,2,13,pokemon,location,,
0x001B3F5B,sailles,7,1,8,pokemon,other,,
0x001B3F63,Crocs Feu,9,4,13,pokemon,location,,
0x001B3F6D,   Crocs Givre,14,2,16,pokemon,other,,
0x001B3F84,clair,5,1,6,pokemon,other,,
0x001B3F8A,Boutefeu,8,5,13,pokemon,other,,
0x001B3F9D,Enfer,5,2,7,pokemon,other,,
0x001B3FA7,timent,6,4,10,pokemon,other,,
0x001B3FAE,   Double Baffe,15,1,16,pokemon,other,,
0x001B3FBE,Coup Double,11,2,13,pokemon,location,,
0x001B3FCA, Cotogarde,10,4,14,pokemon,other,,
0x001B3FD5,   Acrobatie,12,4,16,pokemon,other,,
0x001B3FE2,   Rebondifeu,13,3,16,pokemon,other,,
0x001B3FF0,  Demi-Tour,11,4,15,pokemon,other,,
0x001B4006,clair,5,1,6,pokemon,other,,
0x001B400C,Draco-Queue,11,2,13,pokemon,other,,
0x001B4018, Projection,11,3,14,pokemon,other,,
0x001B4024,  Miroi-Tir,11,4,15,pokemon,other,,
0x001B4030,   Martobois,12,4,16,pokemon,other,,
0x001B403D,   Vibra Soin,13,3,16,pokemon,other,,
