offset,original_text,spanish_text,original_length,padding_available,real_max_length,encoding,category,translation,notes
0x001837BD,"Lost!
Lost! Lost!","Lost!
Lost! Lost!",17,3,20,pokemon,dialogue,"Perdu !
Perdu ! Perdu !",
0x001837CF,And I thought I could catch anyone.,And I thought I could catch anyone.,35,21,56,pokemon,dialogue,Je croyais pouvoir tout attraper.,
0x00183807,"I'll battle you with the Pokémon
I just caught.","I'll battle you with the Pokémon
I just caught.",47,2,49,pokemon,dialogue,"Je vais te combattre avec les
Pokémon que je viens d'attraper.",
0x00183837,Done like dinner!,Done like dinner!,17,2,19,pokemon,dialogue,Cuit comme un rôti !,
0x00183849,"Trained Pokémon are stronger than
wild ones.","Trained Pokémon are stronger than
wild ones.",44,2,46,pokemon,description,"Les Pokémon dressés sont plus
forts que les sauvages.",
0x0018387A,"Eek!
Did you touch me?","Eek!
Did you touch me?",22,2,24,pokemon,dialogue,"Aah !
Tu m'as touchée ?",
0x00183891,That's it?,That's it?,10,7015,7025,pokemon,dialogue,C'est tout ?,
0x00185402,"Yeah!
I got a bite here!","Yeah!
I got a bite here!",24,1,25,pokemon,dialogue,"Ouais !
Ça mord ici !",
0x0018541B,"Tch!
Just a small fry""","Tch!
Just a small fry""",22,2,24,pokemon,dialogue,"Tch !
Juste un petit...",
0x00185432,"Hang on!
My line's snagged!","Hang on!
My line's snagged!",27,2,29,pokemon,dialogue,"Attends !
Ma ligne est coincée !",
0x0018544E,"Be patient.
Fishing is a waiting game.","Be patient.
Fishing is a waiting game.",38,3,41,pokemon,description,"Sois patient.
La pêche est affaire de patience.",
0x00185475,That one got away!,That one got away!,18,3,21,pokemon,dialogue,Celui-là s'est échappé !,
0x00185488,"With a better rod, I could catch
better Pokémon""","With a better rod, I could catch
better Pokémon""",48,297,345,pokemon,dialogue,"Avec une meilleure canne, je
pourrais attraper de bons Pokémon...",
0x001855E1,"The Fishing Flop versus Pokémon
Sun!","The Fishing Flop versus Pokémon
Sun!",36,2,38,pokemon,dialogue,"Le Bide de la Pêche contre Pokémon
Soleil !",
0x00185606,Touch too much!,Touch too much!,15,3,18,pokemon,dialogue,Ça mord trop !,
0x00185616,"I guess you get to be good at
what you like.<0xFB>Well, you beat me at Pokémon,
but you can't top me at fishing.","I guess you get to be good at
what you like.<0xFB>Well, you beat me at Pokémon,
but you can't top me at fishing.",107,3,110,pokemon,dialogue,"On devient doué dans ce qu'on
aime.<0xFB>Tu m'as battu aux Pokémon,
mais tu ne me bats pas à la pêche.",
0x00185682,"I love fishing, don't get me wrong.<0xFB>But it'd be best if I also had more
work.","I love fishing, don't get me wrong.<0xFB>But it'd be best if I also had more
work.",77,3,80,pokemon,dialogue,"J'adore la pêche, ne te trompe pas.<0xFB>Mais ce serait mieux si j'avais
plus de travail aussi.",
0x001856D0,"It's not easy""","It's not easy""",14,3,17,pokemon,location,Ce n'est pas facile...,
0x001856DF,"It's all right.
Losing doesn't bug me anymore.","It's all right.
Losing doesn't bug me anymore.",46,810,856,pokemon,description,"Ça va.
Perdre ne me dérange plus.",
0x00185A37,"Wow!
Your Badges are too cool!","Wow!
Your Badges are too cool!",30,2,32,pokemon,dialogue,"Wow !
Tes Badges sont trop classes !",
0x00185A56,Not enough!,Not enough!,11,3,14,pokemon,dialogue,Pas assez !,
0x00185A62,"You got those Badges from Gym
Leaders. I know!","You got those Badges from Gym
Leaders. I know!",46,2683,2729,pokemon,dialogue,"Tu as eu ces Badges auprès des
Champions d'Arène. Je le sais !",
0x0018650B,"Hmm""<0xFB>This must be the way to Dehara
City!<0xFB>I just know it!","Hmm""<0xFB>This must be the way to Dehara
City!<0xFB>I just know it!",57,5,62,pokemon,dialogue,"Hmm...<0xFB>Ça doit être le chemin vers la
Ville de Dehara !<0xFB>J'en suis sûr !",
0x00186549,"I can't be lost""","I can't be lost""",16,2,18,pokemon,dialogue,Je ne peux pas être perdue...,
0x0018655A,"A beautiful trainer like me, losing
her way?<0xFB>Impossible!<0xFB>I know exactly where I'm going""","A beautiful trainer like me, losing
her way?<0xFB>Impossible!<0xFB>I know exactly where I'm going""",88,157,245,pokemon,dialogue,"Une belle dresseuse comme moi,
se perdre ?<0xFB>Impossible !<0xFB>Je sais exactement où je vais...",
0x0018664F,"When I whistle, I can hear an echo.","When I whistle, I can hear an echo.",35,8,43,pokemon,dialogue,"Quand je siffle, j'entends un écho.",
0x0018667A,"Ow!
That's tragic!","Ow!
That's tragic!",18,69,87,pokemon,dialogue,"Aïe !
C'est tragique !",
0x001866D1,Do you know where you're going?,Do you know where you're going?,31,23,54,pokemon,dialogue,Tu sais où tu vas ?,
0x00186707,You must know.,You must know.,14,5,19,pokemon,dialogue,Tu dois savoir.,
0x0018671A,"You can't see it from up top, but
there's a passage that goes under<0xFA>the bridge!","You can't see it from up top, but
there's a passage that goes under<0xFA>the bridge!",79,34,113,pokemon,dialogue,"On ne le voit pas d'en haut, mais
il y a un passage qui va sous<0xFA>le pont !",
0x0018678B,"It's getting hotter out here""","It's getting hotter out here""",29,25,54,pokemon,other,Il fait de plus en plus chaud ici...,
0x001867C1,"No heat, no help.","No heat, no help.",17,8,25,pokemon,other,"Pas de chaleur, pas d'aide.",
0x001867DA,"The warmer the weather, the
stronger I get!","The warmer the weather, the
stronger I get!",43,7,50,pokemon,dialogue,"Plus il fait chaud, plus je deviens
fort !",
0x0018680C,"My psychic powers foretell my
victory!","My psychic powers foretell my
victory!",38,15,53,pokemon,dialogue,"Mes pouvoirs psy prédisent ma
victoire !",
0x00186841,"I""I was wrong?","I""I was wrong?",14,32,46,pokemon,dialogue,Je... je me suis trompé ?,
0x0018686F,"I must hone my psychic senses
further.<0xFB>Next time, I will not be wrong.","I must hone my psychic senses
further.<0xFB>Next time, I will not be wrong.",70,2,72,pokemon,dialogue,"Je dois affiner mes sens psy
encore.<0xFB>La prochaine fois, je ne me
tromperai pas.",
0x001868B6,"I wouldn't want to fall into the
ocean, here.","I wouldn't want to fall into the
ocean, here.",45,83,128,pokemon,dialogue,"Je ne voudrais pas tomber dans
l'océan, ici.",
0x00186936,"The ocean off the coast is really
deep!","The ocean off the coast is really
deep!",39,11,50,pokemon,dialogue,"L'océan au large est vraiment
profond !",
0x00186968,I'll keep fishing.,I'll keep fishing.,18,3,21,pokemon,location,Je vais continuer à pêcher.,
0x0018697C,"I could've sworn someone was just
pushed into the ocean""","I could've sworn someone was just
pushed into the ocean""",56,110,166,pokemon,dialogue,"Je pourrais jurer que quelqu'un
vient d'être poussé dans l'océan...",
0x00186A22,Check 'em out!,Check 'em out!,14,16,30,pokemon,dialogue,Regarde-les !,
0x00186A40,Aren't they cool?,Aren't they cool?,17,4,21,pokemon,dialogue,Ils sont pas classes ?,
0x00186A55,I love showing off my Pokémon!,I love showing off my Pokémon!,30,3097,3127,pokemon,dialogue,J'adore exhiber mes Pokémon !,
0x0018768C,"Kurukkoo!
How do you like my birdcall?","Kurukkoo!
How do you like my birdcall?",38,4,42,pokemon,dialogue,"Kurukkoo !
Tu aimes mon cri d'oiseau ?",
0x001876B3,I had to bug you!,I had to bug you!,17,2,19,pokemon,dialogue,Fallait que je t'embête !,
0x001876C5,"I collect sea Pokémon on weekends
because the sea is so close.","I collect sea Pokémon on weekends
because the sea is so close.",62,385,447,pokemon,dialogue,"Je capture des Pokémon marins le
week-end car la mer est tout près.",
0x00187884,"I love swimming!
What about you?","I love swimming!
What about you?",32,2,34,pokemon,dialogue,"J'adore nager !
Et toi ?",
0x001878A5,Belly flop!,Belly flop!,11,3,14,pokemon,dialogue,Plongeon ventral !,
0x001878B1,"I can beat even marine Pokémon
at swimming.","I can beat even marine Pokémon
at swimming.",43,2,45,pokemon,dialogue,"Je nage mieux que les Pokémon
marins.",
0x001878DD,What's beyond the horizon?,What's beyond the horizon?,26,3,29,pokemon,dialogue,Qu'y a-t-il au-delà de l'horizon ?,
0x001878F8,Glub!,Glub!,5,3,8,pokemon,dialogue,Glou !,
0x001878FE,"I see The Ruins of Void over
yonder!","I see The Ruins of Void over
yonder!",36,3,39,pokemon,dialogue,"Je vois les Ruines du Vide
là-bas !",
0x00187925,"I tried diving for Pokémon, and it
worked!","I tried diving for Pokémon, and it
worked!",42,6,48,pokemon,dialogue,"J'ai essayé de plonger pour des
Pokémon, et ça a marché !",
0x00187955,Help!,Help!,5,3,8,pokemon,dialogue,À l'aide !,
0x0018795B,"You can only dive where the sea is
dark.","You can only dive where the sea is
dark.",40,4,44,pokemon,dialogue,"Tu ne peux plonger que là où la
mer est sombre.",
0x00187985,"I look at the sea to forget all
the bad things that happened.","I look at the sea to forget all
the bad things that happened.",61,1,62,pokemon,dialogue,"Je regarde la mer pour oublier
les mauvaises choses arrivées.",
0x001879C3,"Ooh!
Traumatic!","Ooh!
Traumatic!",15,2,17,pokemon,dialogue,"Ooh !
Traumatisant !",
0x001879D3,"I'm looking at the sea to forget
the bad thing that happened!","I'm looking at the sea to forget
the bad thing that happened!",61,3,64,pokemon,dialogue,"Je regarde la mer pour oublier
le malheur qui est arrivé !",
0x00187A11,"Oh, I just love your ride!
Can I have it if I win?","Oh, I just love your ride!
Can I have it if I win?",50,3,53,pokemon,dialogue,"Oh, j'adore ta monture !
Je peux l'avoir si je gagne ?",
0x00187A44,Oh! I lost!,Oh! I lost!,11,2,13,pokemon,dialogue,Oh ! J'ai perdu !,
0x00187A50,"It's still a long way to
The Ruins of Void.<0xFB>I want to go back to Dresco Town.","It's still a long way to
The Ruins of Void.<0xFB>I want to go back to Dresco Town.",77,1,78,pokemon,dialogue,"Il y a encore du chemin jusqu'aux
Ruines du Vide.<0xFB>Je veux retourner à Bourg Dresco.",
0x00187A9E,"Swimming's great!
Sunburns aren't!","Swimming's great!
Sunburns aren't!",34,2,36,pokemon,dialogue,"La natation, c'est top !
Les coups de soleil, moins !",
0x00187AC1,Shocker!,Shocker!,8,2,10,pokemon,dialogue,Choqué !,
0x00187ACA,"My friend wanted to swim to
The Ruins of Void.","My friend wanted to swim to
The Ruins of Void.",46,3,49,pokemon,dialogue,"Mon ami voulait nager jusqu'à
The Ruins of Void.",
0x00187AFA,"Ahoy, there!
These waters are treacherous!","Ahoy, there!
These waters are treacherous!",42,1,43,pokemon,dialogue,"Ohé, toi !
Ces eaux sont traîtresses !",
0x00187B25,"Ooh!
Dangerous!","Ooh!
Dangerous!",15,2,17,pokemon,dialogue,"Ooh !
Dangereux !",
0x00187B35,"M-my legs! They cramped up!
Glub, glub""","M-my legs! They cramped up!
Glub, glub""",39,3,42,pokemon,dialogue,"M-mes jambes ! Crampes !
Glou, glou...",
0x00187B5D,"I swam here with my friends""
I'm tired""","I swam here with my friends""
I'm tired""",39,2,41,pokemon,dialogue,"J'ai nagé ici avec mes amis...
Je suis fatigué...",
0x00187B85,"I'm exhausted""","I'm exhausted""",14,3,17,pokemon,location,Je suis exténué...,
0x00187B94,"If I were to ride a Pokémon on
the sea, I'd like a Lapras.<0xFB>Lapras is so big, I bet it
would keep me dry on water.","If I were to ride a Pokémon on
the sea, I'd like a Lapras.<0xFB>Lapras is so big, I bet it
would keep me dry on water.",113,571,684,pokemon,dialogue,"Si je devais chevaucher un Pokémon
sur la mer, j'aimerais un Lokhlass.<0xFB>Lokhlass est si grand que je parie
qu'il me garderait au sec sur l'eau.",
0x00187E40,"The water is shallow here.
There are many people swimming.","The water is shallow here.
There are many people swimming.",58,2,60,pokemon,description,"L'eau est peu profonde ici.
Beaucoup de gens nagent.",
0x00187E7B,Splash!,Splash!,7,4,11,pokemon,dialogue,Plouf !,
0x00187E83,"I wish I could ride my Pokémon.
I bet you're not tired.","I wish I could ride my Pokémon.
I bet you're not tired.",55,289,344,pokemon,dialogue,"J'aimerais monter mon Pokémon.
Je parie que tu n'es pas fatigué.",
0x00187FDB,Check out my buff physique!,Check out my buff physique!,27,3,30,pokemon,dialogue,Admire ma musculature !,
0x00187FF7,Wimpy!,Wimpy!,6,2,8,pokemon,dialogue,Mauviette !,
0x00187FFE,"I should've been buffing up my
Pokémon, not me!","I should've been buffing up my
Pokémon, not me!",47,3,50,pokemon,dialogue,"J'aurais dû muscler mes Pokémon,
pas moi !",
0x0018802E,"Why are you riding a Pokémon?
Can't you swim?","Why are you riding a Pokémon?
Can't you swim?",45,1,46,pokemon,dialogue,"Pourquoi montes-tu un Pokémon ?
Tu ne sais pas nager ?",
0x0018805C,"Ouch!
Torpedoed!","Ouch!
Torpedoed!",16,3,19,pokemon,dialogue,"Aïe !
Torpillé !",
0x0018806D,Riding a Pokémon sure looks fun!,Riding a Pokémon sure looks fun!,32,107,139,pokemon,dialogue,"Monter un Pokémon a l'air
trop fun !",
0x001880F8,My boyfriend gave me big pearls.,My boyfriend gave me big pearls.,32,2,34,pokemon,dialogue,"Mon copain m'a offert de
grosses perles.",
0x00188111,pearls.,pearls.,7,2,9,pokemon,other,pearls.,
0x00188119,"Oh, no!
My pearls were in them!","Oh, no!
My pearls were in them!",31,3,34,pokemon,dialogue,"Oh, non !
Mes perles étaient dedans !",
0x00188139,"Will my pearls grow bigger inside
Cloyster?","Will my pearls grow bigger inside
Cloyster?",43,955,998,pokemon,dialogue,"Mes perles grandiront-elles dans
Crustabri ?",
0x0018851F,"Right now, I'm in a triathlon meet.","Right now, I'm in a triathlon meet.",35,1,36,pokemon,description,Je participe à un triathlon.,
0x00188543,"Pant""
Pant"" Pant""","Pant""
Pant"" Pant""",17,2,19,pokemon,location,"Ouf...
Ouf... Ouf...",
0x00188555,"I'm beat! But, I still have the
bike race and marathon left!","I'm beat! But, I still have the
bike race and marathon left!",60,2376,2436,pokemon,dialogue,"Je suis vidé ! Et il me reste
la course de vélo et le marathon !",
0x00188ED9,I'm going to stomp you!,I'm going to stomp you!,23,10,33,pokemon,dialogue,Je vais t'écraser !,
0x00188EFA,"Whoa!
Too much!","Whoa!
Too much!",15,4,19,pokemon,dialogue,"Ouah !
Trop fort !",
0x00188F0A,I did my best. I have no regrets!,I did my best. I have no regrets!,33,40,73,pokemon,dialogue,J'ai tout donné. Aucun regret !,
0x00188F53,"I did my best, so I've no regrets!","I did my best, so I've no regrets!",34,166,200,pokemon,dialogue,"J'ai fait de mon mieux,
donc aucun regret !",
0x0018901B,I love the smell of the sea!,I love the smell of the sea!,28,85,113,pokemon,dialogue,J'adore l'odeur de la mer !,
0x0018908C,"Whoo!
Good stuff!","Whoo!
Good stuff!",17,3,20,pokemon,dialogue,"Wouh !
Trop bien !",
0x0018909E,This air is beautiful!,This air is beautiful!,22,12,34,pokemon,dialogue,Cet air est magnifique !,
0x001890C0,"Local Trainers come here to
practice.","Local Trainers come here to
practice.",37,2,39,pokemon,description,"Les Dresseurs du coin viennent ici
s'entraîner.",
0x001890E6,You're decent.,You're decent.,14,2,16,pokemon,dialogue,Tu es correct.,
0x001890F5,"All Pokémon have weaknesses.
Even the strongest ones.<0xFB>That's why it's best to raise
Pokémon of different types.","All Pokémon have weaknesses.
Even the strongest ones.<0xFB>That's why it's best to raise
Pokémon of different types.",111,3,114,pokemon,description,"Tous les Pokémon ont une faille.
Même les plus forts.<0xFB>C'est pour ça qu'il vaut mieux
élever des Pokémon de types variés.",
0x00189165,"I love standing here and looking at
the ocean.","I love standing here and looking at
the ocean.",46,19,65,pokemon,dialogue,"J'adore rester ici à regarder
l'océan.",
0x001891A6,I'm not mad!,I'm not mad!,12,2,14,pokemon,dialogue,Je ne suis pas fâchée !,
0x001891B3,Isn't the view great?,Isn't the view great?,21,127,148,pokemon,dialogue,"C'est beau, hein ?",
0x00189247,"Hi!
You're going down!","Hi!
You're going down!",22,4,26,pokemon,dialogue,"Salut !
Tu vas perdre !",
0x00189261,"My conditioning isn't the best""","My conditioning isn't the best""",31,4,35,pokemon,dialogue,"Ma condition n'est pas la
meilleure...",
0x00189281,"I wish I was as good
as you.","I wish I was as good
as you.",28,12,40,pokemon,dialogue,"J'aimerais être aussi bon
que toi.",
0x001892A9,"I had this feeling""
I knew I had to battle you!","I had this feeling""
I knew I had to battle you!",47,3,50,pokemon,dialogue,"Je le sentais...
Je devais te combattre !",
0x001892D9,"I knew I'd lose, too!","I knew I'd lose, too!",21,3,24,pokemon,dialogue,Je savais que je perdrais aussi !,
0x001892EF,"If your Pokémon gets confused,
switch it out.<0xFB>That's a good tactic.","If your Pokémon gets confused,
switch it out.<0xFB>That's a good tactic.",67,50,117,pokemon,dialogue,"Si ton Pokémon est confus,
change-le.<0xFB>C'est une bonne tactique.",
0x00189364,I'm not so jealous!,I'm not so jealous!,19,115,134,pokemon,dialogue,Je ne suis pas si jaloux !,
0x001893EA,You worked hard!,You worked hard!,16,41,57,pokemon,dialogue,Tu as bien travaillé !,
0x00189423,"If it's a battle you want, it's a
battle you'll get!","If it's a battle you want, it's a
battle you'll get!",52,3,55,pokemon,dialogue,"Si tu veux un combat, tu auras
un combat !",
0x00189459,"You done got me, and real good,
too!","You done got me, and real good,
too!",36,3,39,pokemon,dialogue,"Tu m'as eu, et bien comme il
faut !",
0x0018947E,"I really should stop attacking
trainers and blaming them""","I really should stop attacking
trainers and blaming them""",57,360,417,pokemon,dialogue,"Je devrais arrêter d'attaquer les
Dresseurs et de les blâmer...",
0x0018961F,"The weather's gorgeous!
Perfect for a battle!","The weather's gorgeous!
Perfect for a battle!",45,1,46,pokemon,dialogue,"Quel temps splendide !
Parfait pour un combat !",
0x0018964D,Aiyeeeeh!,Aiyeeeeh!,9,2,11,pokemon,dialogue,Aïeeeeh !,
0x00189657,"Please don't splash my face!
You'll ruin the makeup.","Please don't splash my face!
You'll ruin the makeup.",52,1975,2027,pokemon,dialogue,"Ne m'éclabousse pas le visage !
Tu vas ruiner mon maquillage.",
0x00189E42,"The salty tang of the sea""
It tickles my heart.","The salty tang of the sea""
It tickles my heart.",47,2,49,pokemon,dialogue,"La saveur salée de la mer...
Ça me chatouille le coeur.",
0x00189E72,"""Sniff, sniff""
Something smells unpleasant""","""Sniff, sniff""
Something smells unpleasant""",43,2,45,pokemon,description,"...Snif, snif...
Quelque chose sent mauvais...",
0x00189E9E,"Perhaps that reek is your sweaty
Pokémon's body odor""","Perhaps that reek is your sweaty
Pokémon's body odor""",53,144,197,pokemon,dialogue,"Peut-être que cette puanteur,
c'est l'odeur de tes Pokémon suants...",
0x00189F63,"My mommy said that I can't swim
without my float ring.","My mommy said that I can't swim
without my float ring.",54,1,55,pokemon,dialogue,"Maman a dit que je ne peux pas
nager sans ma bouée.",
0x00189F9A,"Waaah!
Waaah!","Waaah!
Waaah!",13,2,15,pokemon,dialogue,"Ouin !
Ouin !",
0x00189FA8,"This year, I'm going to finally
learn how to swim!","This year, I'm going to finally
learn how to swim!",50,2,52,pokemon,dialogue,"Cette année, je vais enfin
apprendre à nager !",
0x00189FDB,"Yay, yay!
Pokémon!","Yay, yay!
Pokémon!",18,2,20,pokemon,dialogue,"Youpi, youpi !
Pokémon !",
0x00189FEE,What happens now?,What happens now?,17,3,20,pokemon,dialogue,Que se passe-t-il maintenant ?,
0x0018A000,"Did I just win?
Or did I lose?","Did I just win?
Or did I lose?",30,6760,6790,pokemon,dialogue,"Je viens de gagner ?
Ou de perdre ?",
0x0018BA86,"My boyfriend's always busy, so I
come swimming by myself.","My boyfriend's always busy, so I
come swimming by myself.",57,3,60,pokemon,dialogue,"Mon copain est toujours occupé, du
coup je viens nager seule.",
0x0018BAC0,"Awww, I knew this would happen!","Awww, I knew this would happen!",31,3,34,pokemon,dialogue,"Awww, je savais que ça arriverait !",
0x0018BAE0,"When I can't be with my boyfriend,
I spend time with the Pokémon he<0xFA>gave me.","When I can't be with my boyfriend,
I spend time with the Pokémon he<0xFA>gave me.",76,1729,1805,pokemon,dialogue,"Quand je ne peux pas être avec mon
copain, je passe du temps avec les<0xFA>Pokémon qu'il m'a offerts.",
