# combined_it.txt — Italian translations for Pokémon Unbound (EN→IT)
#
# Same format as combined_fr.txt:  <offset_hex>: <text_IT>
#   \n  -> line break        \l -> <0xFA> (scroll)      \p -> <0xFB> (clear)
# Lines starting with '#' and blank lines are ignored.
# Offsets absent from this file keep their English text.
# Last entry wins for a duplicated offset (case-insensitive).
#
# Updated from d82a9dba-d0fc-4a43-b39a-6d0e0290e64e-Italian Translations (3).json
#
0x1660052: Ognuno di loro porta una maschera\nche era il suo volto quando era\lumano.
0x1663ae6: Si rilassa in luoghi stretti e bui\ned è noto che usi la tasca o la\lborsa del suo Allenatore come nido.
0x1664647: Adora la luce del sole. Quando\nprende regolarmente il sole, cresce\lcon una colorazione vivace.
0x1664709: Sparge spore che tremolano e\nbrillano. Chiunque veda queste luci\lcade in un sonno profondo.
0x166a997: Bulbasaur
0x166ad96: Gengar
0x166ada1: Onix
0x166adac: Drowzee
0x166adb7: Hypno
0x166adc2: Krabby
0x166adcd: Kingler
0x166add8: Voltorb
0x166ade3: Electrode
0x166adee: Exeggcute
0x166adf9: Exeggutor
0x166ae04: Cubone
0x166ae0f: Marowak
0x166ae1a: Hitmonlee
0x166ae25: Hitmonchan
0x166ae30: Lickitung
0x166ae3b: Koffing
0x166ae46: Weezing
0x166ae51: Rhyhorn
0x166ae5c: Rhydon
0x166ae67: Chansey
0x166ae72: Tangela
0x166ae7d: Kangaskhan
0x166ae88: Horsea
0x166ae93: Seadra
0x166ae9e: Goldeen
0x166aea9: Seaking
0x166aeb4: Staryu
0x166aebf: Starmie
0x166aeca: Mr. Mime
0x166aed5: Scyther
0x166aee0: Jynx
0x166aeeb: Electabuzz
0x166aef6: Magmar
0x166af01: Pinsir
0x166af0c: Tauros
0x166af17: Magikarp
0x166af22: Gyarados
0x166af2d: Lapras
0x166af38: Ditto
0x166af43: Eevee
0x166af4e: Vaporeon
0x166af59: Jolteon
0x166af64: Flareon
0x166af6f: Porygon
0x166af7a: Omanyte
0x166af85: Omastar
0x166af90: Kabuto
0x166af9b: Kabutops
0x166afa6: Aerodactyl
0x166afb1: Snorlax
0x166afbc: Articuno
0x166afc7: Zapdos
0x166afd2: Moltres
0x166afdd: Dratini
0x166afe8: Dragonair
0x166aff3: Dragonite
0x166affe: Mewtwo
0x166b009: Mew
0x166b014: Chikorita
0x166b01f: Bayleef
0x166b02a: Meganium
0x166b035: Cyndaquil
0x166b040: Quilava
0x166b04b: Typhlosion
0x166b056: Totodile
0x166b061: Croconaw
0x166b06c: Feraligatr
0x166b077: Sentret
0x166b082: Furret
0x166b08d: Hoothoot
0x166b098: Noctowl
0x166b0a3: Ledyba
0x166b0ae: Ledian
0x166b0b9: Spinarak
0x166b0c4: Ariados
0x166b0cf: Crobat
0x166b0da: Chinchou
0x166b0e5: Lanturn
0x166b0f0: Pichu
0x166b0fb: Cleffa
0x166b106: Igglybuff
0x166b111: Togepi
0x166b11c: Togetic
0x166b127: Natu
0x166b132: Xatu
0x166b13d: Mareep
0x166b148: Flaaffy
0x166b153: Ampharos
0x166b15e: Bellossom
0x166b169: Marill
0x166b174: Azumarill
0x166b17f: Sudowoodo
0x166b18a: Politoed
0x166b195: Hoppip
0x166b1a0: Skiploom
0x166b1ab: Jumpluff
0x166b1b6: Aipom
0x166b1c1: Sunkern
0x166b1cc: Sunflora
0x166b1d7: Yanma
0x166b1e2: Wooper
0x166b1ed: Quagsire
0x166b1f8: Espeon
0x166b203: Umbreon
0x166b20e: Murkrow
0x166b219: Slowking
0x166b224: Misdreavus
0x166b22f: Unown
0x166b23a: Wobbuffet
0x166b245: Girafarig
0x166b250: Pineco
0x166b25b: Forretress
0x166b266: Dunsparce
0x166b271: Gligar
0x166b27c: Steelix
0x166b287: Snubbull
0x166b292: Granbull
0x166b29d: Qwilfish
0x166b2a8: Scizor
0x166b2b3: Shuckle
0x166b2be: Heracross
0x166b2c9: Sneasel
0x166b2d4: Teddiursa
0x166b2df: Ursaring
0x166b2ea: Slugma
0x166b2f5: Magcargo
0x166b300: Swinub
0x166b30b: Piloswine
0x166b316: Corsola
0x166b321: Remoraid
0x166b32c: Octillery
0x166b337: Delibird
0x166b342: Mantine
0x166b34d: Skarmory
0x166b358: Houndour
0x166b363: Houndoom
0x166b36e: Kingdra
0x166b379: Phanpy
0x166b384: Donphan
0x166b38f: Porygon2
0x166b39a: Stantler
0x166b3a5: Smeargle
0x166b3b0: Tyrogue
0x166b3bb: Hitmontop
0x166b3c6: Smoochum
0x166b3d1: Elekid
0x166b3dc: Magby
0x166b3e7: Miltank
0x166b3f2: Blissey
0x166b3fd: Raikou
0x166b408: Entei
0x166b413: Suicune
0x166b41e: Larvitar
0x166b429: Pupitar
0x166b434: Tyranitar
0x166b43f: Lugia
0x166b44a: Ho-Oh
0x166b455: Celebi
0x166b460: Uovo
0x166b46b: MISSINGNO.
0x166b573: Treecko
0x166b57e: Grovyle
0x166b589: Sceptile
0x166b594: Torchic
0x166b59f: Combusken
0x166b5aa: Blaziken
0x166b5b5: Mudkip
0x166b5c0: Marshtomp
0x166b5cb: Swampert
0x166b5d6: Poochyena
0x166b5e1: Mightyena
0x166b5ec: Zigzagoon
0x166b5f7: Linoone
0x166b602: Wurmple
0x166b60d: Silcoon
0x166b618: Beautifly
0x166b623: Cascoon
0x166b62e: Dustox
0x166b639: Lotad
0x166b644: Lombre
0x166b64f: Ludicolo
0x166b65a: Seedot
0x166b665: Nuzleaf
0x166b670: Shiftry
0x166b67b: Nincada
0x166b686: Ninjask
0x166b691: Shedinja
0x166b69c: Taillow
0x166b6a7: Swellow
0x166b6b2: Shroomish
0x166b6bd: Breloom
0x166b6c8: Spinda
0x166b6d3: Wingull
0x166b6de: Pelipper
0x166b6e9: Surskit
0x166b6f4: Masquerain
0x166b6ff: Wailmer
0x166b70a: Wailord
0x166b715: Skitty
0x166b720: Delcatty
0x166b72b: Kecleon
0x166b736: Baltoy
0x166b741: Claydol
0x166b74c: Nosepass
0x166b757: Torkoal
0x166b762: Sableye
0x166b76d: Barboach
0x166b778: Whiscash
0x166b783: Luvdisc
0x166b78e: Corphish
0x166b799: Crawdaunt
0x166b7a4: Feebas
0x166b7af: Milotic
0x166b7ba: Carvanha
0x166b7c5: Sharpedo
0x166b7d0: Trapinch
0x166b7db: Vibrava
0x166b7e6: Flygon
0x166b7f1: Makuhita
0x166b7fc: Hariyama
0x166b807: Electrike
0x166b812: Manectric
0x166b81d: Numel
0x166b828: Camerupt
0x166b833: Spheal
0x166b83e: Sealeo
0x166b849: Walrein
0x166b854: Cacnea
0x166b85f: Cacturne
0x166b86a: Snorunt
0x166b875: Glalie
0x166b880: Lunatone
0x166b88b: Solrock
0x166b896: Azurill
0x166b8a1: Spoink
0x166b8ac: Grumpig
0x166b8b7: Plusle
0x166b8c2: Minun
0x166b8cd: Mawile
0x166b8d8: Meditite
0x166b8e3: Medicham
0x166b8ee: Swablu
0x166b8f9: Altaria
0x166b904: Wynaut
0x166b90f: Duskull
0x166b91a: Dusclops
0x166b925: Roselia
0x166b930: Slakoth
0x166b93b: Vigoroth
0x166b946: Slaking
0x166b951: Gulpin
0x166b95c: Swalot
0x166b967: Tropius
0x166b972: Whismur
0x166b97d: Loudred
0x166b988: Exploud
0x166b993: Clamperl
0x166b99e: Huntail
0x166b9a9: Gorebyss
0x166b9b4: Absol
0x166b9bf: Shuppet
0x166b9ca: Banette
0x166b9d5: Seviper
0x166b9e0: Zangoose
0x166b9eb: Relicanth
0x166b9f6: Aron
0x166ba01: Lairon
0x166ba0c: Aggron
0x166ba17: Castform
0x166ba22: Volbeat
0x166ba2d: Illumise
0x166ba38: Lileep
0x166ba43: Cradily
0x166ba4e: Anorith
0x166ba59: Armaldo
0x166ba64: Ralts
0x166ba6f: Kirlia
0x166ba7a: Gardevoir
0x166ba85: Bagon
0x166ba90: Shelgon
0x166ba9b: Salamence
0x166baa6: Beldum
0x166bab1: Metang
0x166babc: Metagross
0x166bac7: Regirock
0x166bad2: Regice
0x166badd: Registeel
0x166bae8: Kyogre
0x166baf3: Groudon
0x166bafe: Rayquaza
0x166bb09: Latias
0x166bb14: Latios
0x166bb1f: Jirachi
0x166bb2a: Deoxys
0x166bb35: Chimecho
0x166bb40: Uovo cattivo
0x166bb4b: Unown B
0x166bb56: Unown C
0x166bb61: Unown D
0x166bb6c: Unown E
0x166bb77: Unown F
0x166bb82: Unown G
0x166bb8d: Unown H
0x166bb98: Unown I
0x166bba3: Unown J
0x166bbae: Unown K
0x166bbb9: Unown L
0x166bbc4: Unown M
0x166bbcf: Unown N
0x166bbda: Unown O
0x166bbe5: Unown P
0x166bbf0: Unown Q
0x166bbfb: Unown R
0x166bc06: Unown S
0x166bc11: Unown T
0x166bc1c: Unown U
0x166bc27: Unown V
0x166bc32: Unown W
0x166bc3d: Unown X
0x166bc48: Unown Y
0x166bc53: Unown Z
0x166bc5e: Unown !
0x166bc69: Unown ?
0x166bc74: Turtwig
0x166bc7f: Grotle
0x166bc8a: Torterra
0x166bc95: Chimchar
0x166bca0: Monferno
0x166bcab: Infernape
0x166bcb6: Piplup
0x166bcc1: Prinplup
0x166bccc: Empoleon
0x166bcd7: Starly
0x166bce2: Staravia
0x166bced: Staraptor
0x166bcf8: Bidoof
0x166bd03: Bibarel
0x166bd0e: Kricketot
0x166bd19: Kricketune
0x166bd24: Shinx
0x166bd2f: Luxio
0x166bd3a: Luxray
0x166bd45: Budew
0x166bd50: Roserade
0x166bd5b: Cranidos
0x166bd66: Rampardos
0x166bd71: Shieldon
0x166bd7c: Bastiodon
0x166bd87: Burmy
0x166bd92: Wormadam
0x166bd9d: Mothim
0x166bda8: Combee
0x166bdb3: Vespiquen
0x166bdbe: Pachirisu
0x166bdc9: Buizel
0x166bdd4: Floatzel
0x166bddf: Cherubi
0x166bdea: Cherrim
0x166bdf5: Shellos
0x166be00: Gastrodon
0x166be0b: Ambipom
0x166be16: Drifloon
0x166be21: Drifblim
0x166be2c: Buneary
0x166be37: Lopunny
0x166be42: Mismagius
0x166be4d: Honchkrow
0x166be58: Glameow
0x166be63: Purugly
0x166be6e: Chingling
0x166be79: Stunky
0x166be84: Skuntank
0x166be8f: Bronzor
0x166be9a: Bronzong
0x166bea5: Bonsly
0x166beb0: Mime Jr.
0x166bebb: Happiny
0x166bec6: Chatot
0x166bed1: Spiritomb
0x166bedc: Gible
0x166bee7: Gabite
0x166bef2: Garchomp
0x166befd: Munchlax
0x166bf08: Riolu
0x166bf13: Lucario
0x166bf1e: Hippopotas
0x166bf29: Hippowdon
0x166bf34: Skorupi
0x166bf3f: Drapion
0x166bf4a: Croagunk
0x166bf55: Toxicroak
0x166bf60: Carnivine
0x166bf6b: Finneon
0x166bf76: Lumineon
0x166bf81: Mantyke
0x166bf8c: Snover
0x166bf97: Abomasnow
0x166bfa2: Weavile
0x166bfad: Magnezone
0x166bfb8: Lickilicky
0x166bfc3: Rhyperior
0x166bfce: Tangrowth
0x166bfd9: Electivire
0x166bfe4: Magmortar
0x166bfef: Togekiss
0x166bffa: Yanmega
0x166c005: Leafeon
0x166c010: Glaceon
0x166c01b: Gliscor
0x166c026: Mamoswine
0x166c031: Porygon-Z
0x166c03c: Gallade
0x166c047: Probopass
0x166c052: Dusknoir
0x166c05d: Froslass
0x166c068: Rotom
0x166c073: Uxie
0x166c07e: Mesprit
0x166c089: Azelf
0x166c094: Dialga
0x166c09f: Palkia
0x166c0aa: Heatran
0x166c0b5: Regigigas
0x166c0c0: Giratina
0x166c0cb: Cresselia
0x166c0d6: Phione
0x166c0e1: Manaphy
0x166c0ec: Darkrai
0x166c0f7: Shaymin
0x166c102: Arceus
0x166c10d: Victini
0x166c118: Snivy
0x166c123: Servine
0x166c12e: Serperior
0x166c139: Tepig
0x166c144: Pignite
0x166c14f: Emboar
0x166c15a: Oshawott
0x166c165: Dewott
0x166c170: Samurott
0x166c17b: Patrat
0x166c186: Watchog
0x166c191: Lillipup
0x166c19c: Herdier
0x166c1a7: Stoutland
0x166c1b2: Purrloin
0x166c1bd: Liepard
0x166c1c8: Pansage
0x166c1d3: Simisage
0x166c1de: Pansear
0x166c1e9: Simisear
0x166c1f4: Panpour
0x166c1ff: Simipour
0x166c20a: Munna
0x166c215: Musharna
0x166c220: Pidove
0x166c22b: Tranquill
0x166c236: Unfezant
0x166c241: Blitzle
0x166c24c: Zebstrika
0x166c257: Roggenrola
0x166c262: Boldore
0x166c26d: Gigalith
0x166c278: Woobat
0x166c283: Swoobat
0x166c28e: Drilbur
0x166c299: Excadrill
0x166c2a4: Audino
0x166c2af: Timburr
0x166c2ba: Gurdurr
0x166c2c5: Conkeldurr
0x166c2d0: Tympole
0x166c2db: Palpitoad
0x166c2e6: Seismitoad
0x166c2f1: Throh
0x166c2fc: Sawk
0x166c307: Sewaddle
0x166c312: Swadloon
0x166c31d: Leavanny
0x166c328: Venipede
0x166c333: Whirlipede
0x166c33e: Scolipede
0x166c349: Cottonee
0x166c354: Whimsicott
0x166c35f: Petilil
0x166c36a: Lilligant
0x166c375: Basculin
0x166c380: Sandile
0x166c38b: Krokorok
0x166c396: Krookodile
0x166c3a1: Darumaka
0x166c3ac: Darmanitan
0x166c3b7: Maractus
0x166c3c2: Dwebble
0x166c3cd: Crustle
0x166c3d8: Scraggy
0x166c3e3: Scrafty
0x166c3ee: Sigilyph
0x166c3f9: Yamask
0x166c404: Cofagrigus
0x166c40f: Tirtouga
0x166c41a: Carracosta
0x166c425: Archen
0x166c430: Archeops
0x166c43b: Trubbish
0x166c446: Garbodor
0x166c451: Zorua
0x166c45c: Zoroark
0x166c467: Minccino
0x166c472: Cinccino
0x166c47d: Gothita
0x166c488: Gothorita
0x166c493: Gothitelle
0x166c49e: Solosis
0x166c4a9: Duosion
0x166c4b4: Reuniclus
0x166c4bf: Ducklett
0x166c4ca: Swanna
0x166c4d5: Vanillite
0x166c4e0: Vanillish
0x166c4eb: Vanilluxe
0x166c4f6: Deerling
0x166c501: Sawsbuck
0x166c50c: Emolga
0x166c517: Karrablast
0x166c522: Escavalier
0x166c52d: Foongus
0x166c538: Amoonguss
0x166c543: Frillish
0x166c54e: Jellicent
0x166c559: Alomomola
0x166c564: Joltik
0x166c56f: Galvantula
0x166c57a: Ferroseed
0x166c585: Ferrothorn
0x166c590: Klink
0x166c59b: Klang
0x166c5a6: Klinklang
0x166c5b1: Tynamo
0x166c5bc: Eelektrik
0x166c5c7: Eelektross
0x166c5d2: Elgyem
0x166c5dd: Beheeyem
0x166c5e8: Litwick
0x166c5f3: Lampent
0x166c5fe: Chandelure
0x166c609: Axew
0x166c614: Fraxure
0x166c61f: Haxorus
0x166c62a: Cubchoo
0x166c635: Beartic
0x166c640: Cryogonal
0x166c64b: Shelmet
0x166c656: Accelgor
0x166c661: Stunfisk
0x166c66c: Mienfoo
0x166c677: Mienshao
0x166c682: Druddigon
0x166c68d: Golett
0x166c698: Golurk
0x166c6a3: Pawniard
0x166c6ae: Bisharp
0x166c6b9: Bouffalant
0x166c6c4: Rufflet
0x166c6cf: Braviary
0x166c6da: Vullaby
0x166c6e5: Mandibuzz
0x166c6f0: Heatmor
0x166c6fb: Durant
0x166c706: Deino
0x166c711: Zweilous
0x166c71c: Hydreigon
0x166c727: Larvesta
0x166c732: Volcarona
0x166c73d: Cobalion
0x166c748: Terrakion
0x166c753: Virizion
0x166c75e: Tornadus
0x166c769: Thundurus
0x166c774: Reshiram
0x166c77f: Zekrom
0x166c78a: Landorus
0x166c795: Kyurem
0x166c7a0: Keldeo
0x166c7ab: Meloetta
0x166c7b6: Genesect
0x166c7c1: Unfezant
0x166c7cc: Frillish
0x166c7d7: Jellicent
0x166c7e2: Guerriero
0x166c7ed: Burmy
0x166c7f8: Burmy
0x166c803: Wormadam
0x166c80e: Wormadam
0x166c819: Shellos
0x166c824: Gastrodon
0x166c82f: Rotom
0x166c83a: Rotom
0x166c845: Rotom
0x166c850: Rotom
0x166c85b: Rotom
0x166c866: Giratina
0x166c871: Shaymin
0x166c87c: Arceus
0x166c887: Arceus
0x166c892: Arceus
0x166c89d: Arceus
0x166c8a8: Arceus
0x166c8b3: Arceus
0x166c8be: Arceus
0x166c8c9: Arceus
0x166c8d4: Arceus
0x166c8df: Arceus
0x166c8ea: Arceus
0x166c8f5: Arceus
0x166c900: Arceus
0x166c90b: Arceus
0x166c916: Arceus
0x166c921: Arceus
0x166c92c: Basculin
0x166c937: Darmanitan
0x166c942: Deerling
0x166c94d: Deerling
0x166c958: Deerling
0x166c963: Sawsbuck
0x166c96e: Sawsbuck
0x166c979: Sawsbuck
0x166c984: Hippopotas
0x166c98f: Hippowdon
0x166c99a: Meloetta
0x166c9a5: Genesect
0x166c9b0: Genesect
0x166c9bb: Genesect
0x166c9c6: Genesect
0x166c9d1: Cherrim
0x166c9dc: Kyurem
0x166c9e7: Kyurem
0x166c9f2: Tornadus
0x166c9fd: Thundurus
0x166ca08: Landorus
0x166ca13: Keldeo
0x166ca1e: Chespin
0x166ca29: Quilladin
0x166ca34: Chesnaught
0x166ca3f: Fennekin
0x166ca4a: Braixen
0x166ca55: Delphox
0x166ca60: Froakie
0x166ca6b: Frogadier
0x166ca76: Greninja
0x166ca81: Bunnelby
0x166ca8c: Diggersby
0x166ca97: Fletchling
0x166caa2: Fletchinder
0x166caad: Talonflame
0x166cab8: Scatterbug
0x166cac3: Spewpa
0x166cace: Vivillon
0x166cad9: Litleo
0x166cae4: Pyroar
0x166caef: Flabébé
0x166cafa: Floette
0x166cb05: Florges
0x166cb10: Skiddo
0x166cb1b: Gogoat
0x166cb26: Pancham
0x166cb31: Pangoro
0x166cb3c: Furfrou
0x166cb47: Espurr
0x166cb52: Meowstic
0x166cb5d: Honedge
0x166cb68: Doublade
0x166cb73: Aegislash
0x166cb7e: Spritzee
0x166cb89: Aromatisse
0x166cb94: Swirlix
0x166cb9f: Slurpuff
0x166cbaa: Inkay
0x166cbb5: Malamar
0x166cbc0: Binacle
0x166cbcb: Barbaracle
0x166cbd6: Skrelp
0x166cbe1: Dragalge
0x166cbec: Clauncher
0x166cbf7: Clawitzer
0x166cc02: Helioptile
0x166cc0d: Heliolisk
0x166cc18: Tyrunt
0x166cc23: Tyrantrum
0x166cc2e: Amaura
0x166cc39: Aurorus
0x166cc44: Sylveon
0x166cc4f: Hawlucha
0x166cc5a: Dedenne
0x166cc65: Carbink
0x166cc70: Goomy
0x166cc7b: Sliggoo
0x166cc86: Goodra
0x166cc91: Klefki
0x166cc9c: Phantump
0x166cca7: Trevenant
0x166ccb2: Pumpkaboo
0x166ccbd: Gourgeist
0x166ccc8: Bergmite
0x166ccd3: Avalugg
0x166ccde: Noibat
0x166cce9: Noivern
0x166ccf4: Xerneas
0x166ccff: Yveltal
0x166cd0a: Zygarde
0x166cd15: Diancie
0x166cd20: Hoopa
0x166cd2b: Hoopa
0x166cd36: Volcanion
0x166cd41: Pyroar
0x166cd4c: Meowstic
0x166cd57: Aegislash
0x166cd62: Arceus
0x166cd6d: Zygarde
0x166cd78: Zygarde
0x166cd83: Zygarde
0x166cd8e: Zygarde
0x166cd99: Greninja
0x166cda4: Flabébé
0x166cdaf: Flabébé
0x166cdba: Flabébé
0x166cdc5: Flabébé
0x166cdd0: Floette
0x166cddb: Floette
0x166cde6: Floette
0x166cdf1: Floette
0x166cdfc: Floette
0x166ce07: Florges
0x166ce12: Florges
0x166ce1d: Florges
0x166ce28: Florges
0x166ce33: Pumpkaboo
0x166ce3e: Pumpkaboo
0x166ce49: Pumpkaboo
0x166ce54: Gourgeist
0x166ce5f: Gourgeist
0x166ce6a: Gourgeist
0x166ce75: Furfrou
0x166ce80: Furfrou
0x166ce8b: Furfrou
0x166ce96: Furfrou
0x166cea1: Furfrou
0x166ceac: Furfrou
0x166ceb7: Furfrou
0x166cec2: Furfrou
0x166cecd: Furfrou
0x166ced8: Vivillon
0x166cee3: Venusaur
0x166ceee: Charizard
0x166cef9: Charizard
0x166cf04: Blastoise
0x166cf0f: Beedrill
0x166cf1a: Pidgeot
0x166cf25: Alakazam
0x166cf30: Slowbro
0x166cf3b: Gengar
0x166cf46: Kangaskhan
0x166cf51: Pinsir
0x166cf5c: Gyarados
0x166cf67: Aerodactyl
0x166cf72: Mewtwo
0x166cf7d: Mewtwo
0x166cf88: Ampharos
0x166cf93: Steelix
0x166cf9e: Scizor
0x166cfa9: Heracross
0x166cfb4: Houndoom
0x166cfbf: Tyranitar
0x166cfca: Sceptile
0x166cfd5: Blaziken
0x166cfe0: Swampert
0x166cfeb: Gardevoir
0x166cff6: Sableye
0x166d001: Mawile
0x166d00c: Aggron
0x166d017: Medicham
0x166d022: Manectric
0x166d02d: Sharpedo
0x166d038: Camerupt
0x166d043: Altaria
0x166d04e: Banette
0x166d059: Absol
0x166d064: Glalie
0x166d06f: Salamence
0x166d07a: Metagross
0x166d085: Latias
0x166d090: Latios
0x166d09b: Groudon
0x166d0a6: Kyogre
0x166d0b1: Rayquaza
0x166d0bc: Lopunny
0x166d0c7: Garchomp
0x166d0d2: Lucario
0x166d0dd: Abomasnow
0x166d0e8: Gallade
0x166d0f3: Audino
0x166d0fe: Diancie
0x166d109: Dialga
0x166d114: Palkia
0x166d11f: Vivillon
0x166d12a: Vivillon
0x166d135: Vivillon
0x166d140: Vivillon
0x166d14b: Vivillon
0x166d156: Vivillon
0x166d161: Vivillon
0x166d16c: Vivillon
0x166d177: Vivillon
0x166d182: Vivillon
0x166d18d: Vivillon
0x166d198: Vivillon
0x166d1a3: Vivillon
0x166d1ae: Vivillon
0x166d1b9: Vivillon
0x166d1c4: Vivillon
0x166d1cf: Vivillon
0x166d1da: Vivillon
0x166d1e5: Rowlet
0x166d1f0: Dartrix
0x166d1fb: Decidueye
0x166d206: Litten
0x166d211: Torracat
0x166d21c: Incineroar
0x166d227: Popplio
0x166d232: Brionne
0x166d23d: Primarina
0x166d248: Pikipek
0x166d253: Trumbeak
0x166d25e: Toucannon
0x166d269: Yungoos
0x166d274: Gumshoos
0x166d27f: Grubbin
0x166d28a: Charjabug
0x166d295: Vikavolt
0x166d2a0: Crabrawler
0x166d2ab: Crabominable
0x166d2b6: Oricorio
0x166d2c1: Cutiefly
0x166d2cc: Ribombee
0x166d2d7: Rockruff
0x166d2e2: Lycanroc
0x166d2ed: Wishiwashi
0x166d2f8: Mareanie
0x166d303: Toxapex
0x166d30e: Mudbray
0x166d319: Mudsdale
0x166d324: Dewpider
0x166d32f: Araquanid
0x166d33a: Fomantis
0x166d345: Lurantis
0x166d350: Morelull
0x166d35b: Shiinotic
0x166d366: Salandit
0x166d371: Salazzle
0x166d37c: Stufful
0x166d387: Bewear
0x166d392: Bounsweet
0x166d39d: Steenee
0x166d3a8: Tsareena
0x166d3b3: Comfey
0x166d3be: Oranguru
0x166d3c9: Passimian
0x166d3d4: Wimpod
0x166d3df: Golisopod
0x166d3ea: Sandygast
0x166d3f5: Palossand
0x166d400: Pyukumuku
0x166d40b: Tipo Zero
0x166d416: Silvally
0x166d421: Minior
0x166d42c: Komala
0x166d437: Turtonator
0x166d442: Togedemaru
0x166d44d: Mimikyu
0x166d458: Bruxish
0x166d463: Drampa
0x166d46e: Dhelmise
0x166d479: Jangmo-o
0x166d484: Hakamo-o
0x166d48f: Kommo-o
0x166d49a: Tapu Koko
0x166d4a5: Tapu Lele
0x166d4b0: Tapu Bulu
0x166d4bb: Tapu Fini
0x166d4c6: Cosmog
0x166d4d1: Cosmoem
0x166d4dc: Solgaleo
0x166d4e7: Lunala
0x166d4f2: Nihilego
0x166d4fd: Buzzwole
0x166d508: Pheromosa
0x166d513: Xurkitree
0x166d51e: Celesteela
0x166d529: Kartana
0x166d534: Guzzlord
0x166d53f: Necrozma
0x166d54a: Magearna
0x166d555: Marshadow
0x166d560: Rattata
0x166d56b: Raticate
0x166d576: Raichu
0x166d581: Sandshrew
0x166d58c: Sandslash
0x166d597: Vulpix
0x166d5a2: Ninetales
0x166d5ad: Diglett
0x166d5b8: Dugtrio
0x166d5c3: Meowth
0x166d5ce: Persian
0x166d5d9: Geodude
0x166d5e4: Graveler
0x166d5ef: Golem
0x166d5fa: Grimer
0x166d605: Muk
0x166d610: Exeggcute
0x166d61b: Exeggutor
0x166d626: Cubone
0x166d631: Marowak
0x166d63c: Deoxys
0x166d647: Deoxys
0x166d652: Deoxys
0x166d65d: Oricorio
0x166d668: Oricorio
0x166d673: Oricorio
0x166d67e: Lycanroc
0x166d689: Wishiwashi
0x166d694: Silvally
0x166d69f: Silvally
0x166d6aa: Silvally
0x166d6b5: Silvally
